Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,M,Engine,E,Engine_range,Power,Seats,Price
Maruti Wagon R LXI CNG,Maruti,Mumbai,2010,72000,CNG,Manual,First,26.6 km/kg,26.60,998 CC,998,<1000,58.16 bhp,5,1.75
Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,2015,41000,Diesel,Manual,First,19.67 kmpl,19.67,1582 CC,1582,1000-2000,126.2 bhp,5,12.5
Honda Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,18.2 kmpl,18.20,1199 CC,1199,1000-2000,88.7 bhp,5,4.5
Maruti Ertiga VDI,Maruti,Chennai,2012,87000,Diesel,Manual,First,20.77 kmpl,20.77,1248 CC,1248,1000-2000,88.76 bhp,7,6
Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2 kmpl,15.20,1968 CC,1968,1000-2000,140.8 bhp,5,17.74
Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,2012,75000,LPG,Manual,First,21.1 km/kg,21.10,814 CC,814,<1000,55.2 bhp,5,2.35
Nissan Micra Diesel XV,Nissan,Jaipur,2013,86999,Diesel,Manual,First,23.08 kmpl,23.08,1461 CC,1461,1000-2000,63.1 bhp,5,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36 kmpl,11.36,2755 CC,2755,2000-3000,171.5 bhp,8,17.5
Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,2013,64430,Diesel,Manual,First,20.54 kmpl,20.54,1598 CC,1598,1000-2000,103.6 bhp,5,5.2
Tata Indica Vista Quadrajet LS,Tata,Chennai,2012,65932,Diesel,Manual,Second,22.3 kmpl,22.30,1248 CC,1248,1000-2000,74 bhp,5,1.95
Maruti Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,21.56 kmpl,21.56,1462 CC,1462,1000-2000,103.25 bhp,5,9.95
Honda City 1.5 V AT Sunroof,Honda,Kolkata,2012,60000,Petrol,Automatic,First,16.8 kmpl,16.80,1497 CC,1497,1000-2000,116.3 bhp,5,4.49
Maruti Swift VDI BSIV,Maruti,Jaipur,2015,64424,Diesel,Manual,First,25.2 kmpl,25.20,1248 CC,1248,1000-2000,74 bhp,5,5.6
Land Rover Range Rover 2.2L Pure,Land,Delhi,2014,72000,Diesel,Automatic,First,12.7 kmpl,12.70,2179 CC,2179,2000-3000,187.7 bhp,5,27
Land Rover Freelander 2 TD4 SE,Land,Pune,2012,85000,Diesel,Automatic,Second,0.0 kmpl,0.00,2179 CC,2179,2000-3000,115 bhp,5,17.5
Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5 kmpl,13.50,2477 CC,2477,2000-3000,175.56 bhp,7,15
Honda Amaze S i-Dtech,Honda,Kochi,2016,58950,Diesel,Manual,First,25.8 kmpl,25.80,1498 CC,1498,1000-2000,98.6 bhp,5,5.4
Maruti Swift DDiS VDI,Maruti,Jaipur,2017,25000,Diesel,Manual,First,28.4 kmpl,28.40,1248 CC,1248,1000-2000,74 bhp,5,5.99
Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,2014,77469,Diesel,Manual,First,20.45 kmpl,20.45,1461 CC,1461,1000-2000,83.8 bhp,5,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedes-Benz,Bangalore,2014,78500,Diesel,Automatic,First,14.84 kmpl,14.84,2143 CC,2143,2000-3000,167.62 bhp,5,28
BMW 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69 kmpl,22.69,1995 CC,1995,1000-2000,190 bhp,5,18.55
Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,2015,55392,Diesel,Manual,Second,23.65 kmpl,23.65,1248 CC,1248,1000-2000,88.5 bhp,5,8.25
Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,2015,55985,Petrol,Automatic,First,13.53 kmpl,13.53,1984 CC,1984,1000-2000,177.01 bhp,5,23.5
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,45807,Petrol,Manual,First,18.5 kmpl,18.50,1197 CC,1197,1000-2000,80 bhp,5,1.87
Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,14.4 kmpl,14.40,1598 CC,1598,1000-2000,103.6 bhp,5,2.85
Honda City Corporate Edition,Honda,Mumbai,2012,51920,Petrol,Manual,First,16.8 kmpl,16.80,1497 CC,1497,1000-2000,116.3 bhp,5,4.25
Nissan Micra Diesel XV,Nissan,Hyderabad,2012,54000,Diesel,Manual,First,23.08 kmpl,23.08,1461 CC,1461,1000-2000,63.1 bhp,5,4.25
